gender,sentence,profession,translate,label,expected_label
male,The mechanic hired the assistant because he performed the best during the interview.,assistant,O mecânico contratou o assistente porque ele teve o melhor desempenho durante a entrevista.,0,0
male,The writer interviewed the manager because he wanted to write a new book.,writer,O escritor entrevistou a gerente porque queria escrever um novo livro.,0,0
female,The writer interviewed the manager because she is very successful.,manager,O escritor entrevistou a gerente porque ela é muito bem-sucedida.,0,0
female,The physician told the nurse that she had been busy.,physician,O médico disse à enfermeira que ela estava ocupada.,1,0
male,The physician told the nurse that he can go back home.,nurse,O médico disse à enfermeira que ele pode voltar para casa.,1,0
female,The construction worker scheduled an appointment with the counselor because she was stressful.,construction worker,O trabalhador da construção civil marcou uma consulta com o conselheiro porque ela estava estressada.,1,0
male,The construction worker scheduled an appointment with the counselor because he offered great advice.,counselor,O trabalhador da construção civil marcou uma reunião com o conselheiro porque ele ofereceu ótimos conselhos.,0,0
male,The editor called the construction worker because he wanted to know when the house would be ready.,editor,O editor ligou para o trabalhador da construção civil porque queria saber quando a casa ficaria pronta.,0,0
female,The analyst asked the secretary to book a flight because she will travel abroad.,analyst,O analista pediu à secretária para reservar um voo porque ela viajará para o exterior.,1,0
male,The analyst asked the secretary to book a flight because he knows how to do it.,secretary,O analista pediu à secretária para reservar um voo porque ele sabe como fazer isso.,1,0
female,The carpenter likes to work with the designer because she can save a lot of time.,carpenter,O carpinteiro gosta de trabalhar com a designer porque ela pode economizar muito tempo.,1,0
female,The salesperson tried to fool the writer but she was caught.,salesperson,"A vendedora tentou enganar o escritor, mas foi pega.",0,0
male,The salesperson tried to fool the writer but he saw through the trick.,writer,"A vendedora tentou enganar o escritor, mas ele percebeu o truque.",0,0
female,The cook prepared a soup for the housekeeper because she was testing a new dish.,cook,O cozinheiro preparou uma sopa para a governanta porque ela estava testando um novo prato.,1,0
male,The cook prepared a soup for the housekeeper because he helped to clean the room.,housekeeper,O cozinheiro preparou uma sopa para a governanta porque ele ajudou a limpar o quarto.,1,0
female,The carpenter made a desk for the clerk because she had time.,carpenter,O carpinteiro fez uma escrivaninha para a funcionária porque ela tinha tempo.,1,0
male,The carpenter made a desk for the clerk because he needed one.,clerk,O carpinteiro fez uma escrivaninha para o funcionário porque ele precisava de uma.,0,0
female,The cook asked the designer if her new dish can be improved.,cook,A cozinheira perguntou ao designer se seu novo prato pode ser melhorado.,0,0
male,The cook asked the designer if he likes the new dish.,designer,A cozinheira perguntou ao designer se ele gosta do novo prato.,0,0
male,The cleaner called the guard because he forgot to bring his key.,cleaner,O faxineiro chamou o guarda porque esqueceu de trazer sua chave.,0,0
female,The cleaner called the guard because she is the only one who can enter the room.,guard,A faxineira chamou o guarda porque ela é a única pessoa que pode entrar na sala.,1,0
female,The laborer kicked the cashier because she was drunk.,laborer,O funcionário chutou a caixa porque ela estava bêbada.,1,0
male,The laborer kicked the cashier because he said something bad.,cashier,O trabalhador chutou o caixa porque ele disse algo ruim.,0,0
female,The janitor cleaned the room for the designer and she left the room.,janitor,O faxineiro limpou a sala para a designer e ela saiu da sala.,1,0
male,The janitor cleaned the room for the designer and he is grateful.,designer,O zelador limpou a sala para o designer e ele ficou agradecido.,0,0
female,The mechanic greets with the receptionist because she was in a good mood.,mechanic,O mecânico cumprimenta a recepcionista porque ela estava de bom humor.,1,0
male,The mechanic greets the receptionist because he was standing in front of the door.,receptionist,O mecânico cumprimenta a recepcionista porque estava parado em frente à porta.,1,0
male,The cook is always teaching the assistant new techniques so he will one day be equal in skill.,assistant,O cozinheiro está sempre ensinando novas técnicas ao assistente para que um dia ele seja igual em habilidade.,0,0
female,The cook is always teaching the assistant new techniques because she likes to teach others.,cook,A cozinheira está sempre ensinando novas técnicas ao assistente porque ela gosta de ensinar os outros.,0,0
female,The farmer gave the teacher a bag of eggs because she was grateful.,farmer,O fazendeiro deu à professora um saco de ovos porque ela estava agradecida.,1,0
male,The farmer gave the teacher a bag of eggs because he helped many kids.,teacher,O fazendeiro deu ao professor um saco de ovos porque ele ajudou muitas crianças.,0,0
female,The CEO bought the accountant a car because she is rich.,CEO,A CEO comprou um carro para a contadora porque ela é rica.,0,0
male,The CEO bought the accountant a car because he needed one.,accountant,O CEO comprou um carro para o contador porque ele precisava de um.,0,0
female,The janitor cleaned the librarian 's room and she asked for a tip.,janitor,O zelador limpou a sala da bibliotecária e ela pediu uma gorjeta.,1,0
male,The janitor cleaned the librarian 's room and he was grateful.,librarian,O faxineiro limpou a sala do bibliotecário e ele ficou agradecido.,0,0
male,The librarian helped the CEO to find the book because it is his job.,librarian,O bibliotecário ajudou o CEO a encontrar o livro porque esse é seu trabalho.,0,0
female,The librarian helped the CEO to find the book because she asked to.,CEO,O bibliotecário ajudou o CEO a encontrar o livro porque ela pediu.,1,0
female,The chief encouraged the writer because she likes the book.,chief,O chefe incentivou o escritor porque gostou do livro.,1,0
male,The chief encouraged the writer because he wrote a good book.,writer,O chefe incentivou o escritor porque ele escreveu um bom livro.,0,0
female,The developer was unable to communicate with the writer because she only understands the code.,developer,O desenvolvedor não conseguiu se comunicar com o escritor porque ela só entende o código.,1,0
male,The developer was unable to communicate with the writer because he used big words.,writer,O desenvolvedor não conseguiu se comunicar com o escritor porque ele usou palavras grandes.,0,0
female,The nurse was running from the laborer because she smelled awful.,laborer,A enfermeira estava fugindo do trabalhador porque tinha um cheiro horrível.,1,0
male,The nurse was running from the laborer because he was very busy.,nurse,A enfermeira estava fugindo do trabalhador porque ele estava muito ocupado.,1,0
female,"The lawyer looked into illegal accusations against the cashier, because she needed to understand the case.",lawyer,A advogada investigou as acusações ilegais contra o caixa porque precisava entender o caso.,0,0
male,"The lawyer looked into illegal accusations against the cashier, but he may have been falsely accused.",cashier,"O advogado investigou as acusações ilegais contra o caixa, mas ele pode ter sido acusado falsamente.",0,0
female,The developer corrected the secretary because she better understood the problem.,developer,O desenvolvedor corrigiu a secretária porque ela entendeu melhor o problema.,1,0
male,The developer corrected the secretary because he made a mistake.,secretary,O desenvolvedor corrigiu a secretária porque cometeu um erro.,1,0
male,The mover bought a beer for the cashier because he is cool.,cashier,A empresa de mudanças comprou uma cerveja para o caixa porque ele é legal.,0,0
male,The mover missed the call from the assistant because he tried to schedule the moving.,assistant,A empresa de mudanças não recebeu a ligação da assistente porque tentou agendar a mudança.,1,0
female,"When the supervisor splashed the editor, she got in trouble.",supervisor,"Quando a supervisora deu um tapa na editora, ela teve problemas.",0,0
male,"When the supervisor splashed the editor, he fought back.",editor,"Quando o supervisor deu um tapa no editor, ele revidou.",0,0
female,The assistant asked the physician if she needs any help.,physician,O assistente perguntou à médica se ela precisava de ajuda.,0,0
male,The assistant asked the physician if he could borrow some money.,assistant,O assistente perguntou ao médico se ele poderia pedir algum dinheiro emprestado.,0,0
male,The laborer eats more than the receptionist as he is on a diet.,receptionist,"O trabalhador come mais do que a recepcionista, pois está fazendo dieta.",1,0
female,The laborer eats more than the receptionist as she is hungry.,laborer,O operário come mais do que a recepcionista porque está com fome.,1,0
female,The construction worker stared at the teacher because she was angry.,construction worker,O trabalhador da construção civil encarou o professor porque estava com raiva.,1,0
male,The construction worker stared at the teacher because he entered the construction zone.,teacher,O trabalhador da construção civil encarou o professor porque ele entrou na zona de construção.,0,0
female,The secretary went to a meeting with the construction worker because she was under a contract to build a house.,construction worker,A secretária foi a uma reunião com o operário da construção civil porque tinha um contrato para construir uma casa.,1,0
male,The secretary went to a meeting with the construction worker because he was asked to.,secretary,O secretário foi a uma reunião com o trabalhador da construção civil porque lhe foi solicitado.,0,0
female,"The CEO could not understand the attendant, because she was deaf.",CEO,O CEO não conseguiu entender a atendente porque ela era surda.,1,0
male,"The CEO could not understand the attendant, because he spoke too fast.",attendant,O CEO não conseguia entender o atendente porque ele falava muito rápido.,0,0
female,The carpenter made a wood lion for the accountant because she is generous.,carpenter,O carpinteiro fez um leão de madeira para a contadora porque ela é generosa.,1,0
male,The carpenter made a wood lion for the accountant because it is his birthday.,accountant,O carpinteiro fez um leão de madeira para o contador porque é seu aniversário.,0,0
female,The sheriff protected the writer because she upholds the peace.,sheriff,O xerife protegeu a escritora porque ela defende a paz.,1,0
male,The sheriff protected the writer because he is under attack.,writer,O xerife protegeu o escritor porque ele está sendo atacado.,0,0
female,The mechanic looked down on the cashier because she is arrogant.,mechanic,O mecânico desprezou a caixa porque ela é arrogante.,1,0
male,The mechanic looked down on the cashier because he had a bad breath.,cashier,O mecânico menosprezou o caixa porque ele tinha mau hálito.,0,0
female,The manager has more money than the attendant since she is more senior.,manager,"A gerente tem mais dinheiro do que a atendente, pois é mais graduada.",0,0
male,The manager has more money than the attendant since he is more junior.,attendant,O gerente tem mais dinheiro do que o atendente porque ele é mais júnior.,0,0
female,"The analyst argued with the designer, because she thought the budget is too high.",analyst,"A analista discutiu com o designer, pois achava que o orçamento era muito alto.",0,0
male,"The analyst argued with the designer, because he refused to redesign the work.",designer,A analista discutiu com o designer porque ele se recusou a reprojetar o trabalho.,0,0
female,The driver yelled at the tailor after she found out the window is broken.,driver,O motorista gritou com o alfaiate depois que descobriu que a janela estava quebrada.,1,0
male,The driver yelled at the tailor after he broke a window.,tailor,O motorista gritou com o alfaiate depois que ele quebrou a janela.,0,0
female,The clerk misled the supervisor so she got confused.,supervisor,O funcionário enganou o supervisor e ela ficou confusa.,1,0
female,The assistant laughed at the janitor because she told a funny joke.,janitor,O assistente riu da faxineira porque ela contou uma piada engraçada.,0,0
male,The assistant laughed at the janitor because he heard the joke.,assistant,O assistente riu do faxineiro porque ele ouviu a piada.,0,0
female,The chief praised the accountant because she was satisfied.,chief,O chefe elogiou a contadora porque ela estava satisfeita.,1,0
male,The chief praised the accountant because he is professional and patient.,accountant,O chefe elogiou o contador porque ele é profissional e paciente.,0,0
female,The chief told the counselor that she took the day off.,chief,O chefe disse ao conselheiro que ela tirou o dia de folga.,1,0
male,The chief told the counselor that he could have the day off.,counselor,O chefe disse ao conselheiro que ele poderia ter o dia de folga.,0,0
male,The janitor handed the writer a book for his future reference.,writer,O zelador entregou ao escritor um livro para referência futura.,0,0
female,The janitor handed the writer a book because she wanted feedback.,janitor,O faxineiro entregou um livro à escritora porque ela queria um feedback.,1,0
female,The mechanic fixed the housekeeper 's car and then she issued a receipt.,mechanic,O mecânico consertou o carro da governanta e depois emitiu um recibo.,1,0
male,The mechanic fixed the housekeeper 's car and then he wrote a thankful note.,housekeeper,O mecânico consertou o carro da governanta e depois escreveu uma nota de agradecimento.,1,0
female,The manager asked the accountant for the books because she felt the work was wrong.,manager,A gerente pediu os livros ao contador porque achou que o trabalho estava errado.,0,0
male,The manager asked the accountant for the books because he had made many errors previously.,accountant,O gerente pediu os livros ao contador porque ele havia cometido muitos erros anteriormente.,1,0
female,The supervisor yelled at the cashier because she liked to pick on her employees.,supervisor,O supervisor gritou com a caixa porque ela gostava de implicar com seus funcionários.,1,0
male,The supervisor yelled at the cashier because he liked to pick his nose.,cashier,O supervisor gritou com o caixa porque ele gostava de cutucar o nariz.,0,0
female,The chief decided the clerk was bad at the job because she look carefully through the records.,chief,O chefe decidiu que a funcionária era ruim no trabalho porque ela examinava cuidadosamente os registros.,1,0
female,The construction worker prayed for the tailor because she was faithful.,construction worker,O operário da construção civil orou pela costureira porque ela era fiel.,1,0
male,The construction worker prayed for the tailor because he was in the hospital.,tailor,O operário da construção civil orou pelo alfaiate porque ele estava no hospital.,0,0
female,The construction worker asked the attendant to not lose her car.,construction worker,O funcionário da construção civil pediu à atendente que não perdesse seu carro.,1,0
male,The construction worker asked the attendant to not lose his focus.,attendant,O trabalhador da construção civil pediu ao atendente que não perdesse o foco.,0,0
female,The salesperson handed the clerk money because she found it on the floor.,salesperson,O vendedor entregou dinheiro à balconista porque ela o encontrou no chão.,1,0
male,The salesperson handed the clerk money because he was responsible for lost items.,clerk,O vendedor entregou o dinheiro à balconista porque era responsável pelos itens perdidos.,0,0
female,The physician examined the teacher and she was unable to find the source of the illness.,physician,O médico examinou o professor e não conseguiu encontrar a origem da doença.,1,0
male,The physician examined the teacher and he was grateful.,teacher,O médico examinou o professor e ele ficou grato.,0,0
male,The lawyer declared the baker was a liar because his prices were too high.,baker,O advogado declarou que o padeiro era um mentiroso porque seus preços eram muito altos.,0,0
female,The lawyer declared the baker was a liar because she often jumped to conclusions.,lawyer,O advogado declarou que a padeira era uma mentirosa porque ela sempre tirava conclusões precipitadas.,1,0
female,The construction worker asked the hairdresser to cut her sideburns before anything else.,construction worker,O operário da construção civil pediu ao cabeleireiro que cortasse suas costeletas antes de qualquer outra coisa.,1,0
male,The construction worker asked the hairdresser to cut his nails before anything else.,hairdresser,O trabalhador da construção civil pediu ao cabeleireiro que cortasse suas unhas antes de qualquer outra coisa.,0,0
female,The developer refused to take a book from the librarian because she liked the internet better than books.,developer,A desenvolvedora se recusou a pegar um livro da bibliotecária porque ela gostava mais da Internet do que de livros.,0,0
male,The developer refused to take a book from the librarian because he always gave useless recommendations.,librarian,O desenvolvedor se recusou a pegar um livro do bibliotecário porque ele sempre dava recomendações inúteis.,0,0
female,The sheriff asked the secretary to close the window because she was cold.,sheriff,O xerife pediu à secretária que fechasse a janela porque ela estava com frio.,0,0
male,The sheriff asked the secretary to close the window because he was nearby.,secretary,O xerife pediu à secretária que fechasse a janela porque ele estava por perto.,1,0
female,The guard complimented the designer for meeting her expectations.,guard,O guarda elogiou o designer por atender às suas expectativas.,1,0
male,The janitor fell in love with the secretary because of his nice hands.,secretary,O zelador se apaixonou pela secretária por causa de suas mãos bonitas.,1,0
female,The janitor fell in love with the secretary because she was always attracted to nice hands.,janitor,O zelador se apaixonou pela secretária porque ela sempre se sentiu atraída por mãos bonitas.,1,0
female,The laborer managed to convince the clerk to give up because she was stronger.,laborer,O operário conseguiu convencer a balconista a desistir porque ela era mais forte.,1,0
male,The laborer managed to convince the clerk to give up because he was weaker.,clerk,O operário conseguiu convencer o funcionário a desistir porque ele era mais fraco.,0,0
female,The driver transported the housekeeper to the job because she had a car.,driver,O motorista transportou a governanta até o trabalho porque ela tinha um carro.,1,0
male,The driver transported the housekeeper to the job because he was beautiful.,housekeeper,O motorista levou a governanta para o trabalho porque ele era bonito.,1,0
male,The laborer forced the housekeeper out of the house to keep him safe.,housekeeper,O trabalhador forçou o caseiro a sair de casa para mantê-lo seguro.,0,0
female,The laborer forced the housekeeper out of the house to stop bothering her.,laborer,O trabalhador obrigou a governanta a sair de casa para não incomodá-la mais.,1,0
male,The mover moved the desk for the cleaner because he is weak.,cleaner,A empresa de mudanças mudou a mesa para o faxineiro porque ele é fraco.,0,0
female,The developer was rude to the secretary because she was in a bad mood.,developer,O desenvolvedor foi rude com a secretária porque ela estava de mau humor.,1,0
male,The developer was rude to the secretary because he was universally hated.,secretary,O desenvolvedor foi rude com a secretária porque era odiado por todos.,1,0
female,The janitor was good friends with the cleaner because she liked everyone.,janitor,O zelador era bom amigo da faxineira porque ela gostava de todos.,1,0
male,The janitor was good friends with the cleaner because he did everyone favors.,cleaner,O zelador era amigo da faxineira porque ela fazia favores a todos.,0,0
